analysis,sample_size,elite_count,semi_elite_count,sample_id,sample_seed,perturbation_run,noise_seed,noise_amplitude,success,error,rmse
Correlation Analysis,120,10,110,3,2029,7,32032,0.5,True,,0.03413720329827718
Variance Analysis,120,10,110,3,2029,7,32032,0.5,True,,0.21891838300892671
Logistic Regression,120,10,110,3,2029,8,32033,0.5,True,,0.166679849717756
Multiple Linear Regression,120,10,110,3,2029,8,32033,0.5,True,,0.014453116622136062
Correlation Analysis,120,10,110,3,2029,8,32033,0.5,True,,0.04511507367695778
Variance Analysis,120,10,110,3,2029,8,32033,0.5,True,,0.19302435190202955
Logistic Regression,120,10,110,3,2029,9,32034,0.5,True,,0.13888108236142133
Multiple Linear Regression,120,10,110,3,2029,9,32034,0.5,True,,0.015485308431049939
Correlation Analysis,120,10,110,3,2029,9,32034,0.5,True,,0.038218226427232035
Variance Analysis,120,10,110,3,2029,9,32034,0.5,True,,0.2182790249704617
Logistic Regression,120,10,110,3,2029,10,32035,0.5,True,,0.11661137315768236
Multiple Linear Regression,120,10,110,3,2029,10,32035,0.5,True,,0.02407102527491296
Correlation Analysis,120,10,110,3,2029,10,32035,0.5,True,,0.03717481027683481
Variance Analysis,120,10,110,3,2029,10,32035,0.5,True,,0.17967497091681195
Logistic Regression,120,10,110,4,2030,1,42026,0.5,True,,0.13751732653032725
Multiple Linear Regression,120,10,110,4,2030,1,42026,0.5,True,,0.024732889244053657
Correlation Analysis,120,10,110,4,2030,1,42026,0.5,True,,0.03512470729873703
Variance Analysis,120,10,110,4,2030,1,42026,0.5,True,,0.12167097373364198
Logistic Regression,120,10,110,4,2030,2,42027,0.5,True,,0.2603929556191118
Multiple Linear Regression,120,10,110,4,2030,2,42027,0.5,True,,0.04094637628924495
Correlation Analysis,120,10,110,4,2030,2,42027,0.5,True,,0.04060403258617808
Variance Analysis,120,10,110,4,2030,2,42027,0.5,True,,0.19794807634419875
Logistic Regression,120,10,110,4,2030,3,42028,0.5,True,,0.18162247176566043
Multiple Linear Regression,120,10,110,4,2030,3,42028,0.5,True,,0.04191656369923429
Correlation Analysis,120,10,110,4,2030,3,42028,0.5,True,,0.03337887317790102
Variance Analysis,120,10,110,4,2030,3,42028,0.5,True,,0.1122119793572979
Logistic Regression,120,10,110,4,2030,4,42029,0.5,True,,0.2380053737337532
Multiple Linear Regression,120,10,110,4,2030,4,42029,0.5,True,,0.025638434487852454
Correlation Analysis,120,10,110,4,2030,4,42029,0.5,True,,0.03633650880506101
Variance Analysis,120,10,110,4,2030,4,42029,0.5,True,,0.14116180348731683
Logistic Regression,120,10,110,4,2030,5,42030,0.5,True,,0.07911898691018546
Multiple Linear Regression,120,10,110,4,2030,5,42030,0.5,True,,0.01581927997928686
Correlation Analysis,120,10,110,4,2030,5,42030,0.5,True,,0.035949807276620095
Variance Analysis,120,10,110,4,2030,5,42030,0.5,True,,0.19513925491822087
Logistic Regression,120,10,110,4,2030,6,42031,0.5,True,,0.20816527685179342
Multiple Linear Regression,120,10,110,4,2030,6,42031,0.5,True,,0.013954024228985007
Correlation Analysis,120,10,110,4,2030,6,42031,0.5,True,,0.03830628262674767
Variance Analysis,120,10,110,4,2030,6,42031,0.5,True,,0.15802653224518534
Logistic Regression,120,10,110,4,2030,7,42032,0.5,True,,0.309072024878972
Multiple Linear Regression,120,10,110,4,2030,7,42032,0.5,True,,0.011264074350848455
Correlation Analysis,120,10,110,4,2030,7,42032,0.5,True,,0.03602705312531624
Variance Analysis,120,10,110,4,2030,7,42032,0.5,True,,0.17773962458896905
Logistic Regression,120,10,110,4,2030,8,42033,0.5,True,,0.16281046617922054
Multiple Linear Regression,120,10,110,4,2030,8,42033,0.5,True,,0.02048466376514407
Correlation Analysis,120,10,110,4,2030,8,42033,0.5,True,,0.03357152135857378
Variance Analysis,120,10,110,4,2030,8,42033,0.5,True,,0.19388733071185188
Logistic Regression,120,10,110,4,2030,9,42034,0.5,True,,0.1405517679940376
Multiple Linear Regression,120,10,110,4,2030,9,42034,0.5,True,,0.017587140192877587
Correlation Analysis,120,10,110,4,2030,9,42034,0.5,True,,0.040591135953851554
Variance Analysis,120,10,110,4,2030,9,42034,0.5,True,,0.14324654753215105
Logistic Regression,120,10,110,4,2030,10,42035,0.5,True,,0.2489845356744704
Multiple Linear Regression,120,10,110,4,2030,10,42035,0.5,True,,0.022722487302514267
Correlation Analysis,120,10,110,4,2030,10,42035,0.5,True,,0.029636603631789677
Variance Analysis,120,10,110,4,2030,10,42035,0.5,True,,0.12428886287298245
Logistic Regression,120,10,110,5,2031,1,52026,0.5,True,,0.1243216226982555
Multiple Linear Regression,120,10,110,5,2031,1,52026,0.5,True,,0.01648589452683524
Correlation Analysis,120,10,110,5,2031,1,52026,0.5,True,,0.030976811512775707
Variance Analysis,120,10,110,5,2031,1,52026,0.5,True,,0.1367968798986896
Logistic Regression,120,10,110,5,2031,2,52027,0.5,True,,0.21784768913749059
Multiple Linear Regression,120,10,110,5,2031,2,52027,0.5,True,,0.03386712567598457
Correlation Analysis,120,10,110,5,2031,2,52027,0.5,True,,0.030973897489045686
Variance Analysis,120,10,110,5,2031,2,52027,0.5,True,,0.1202344428952514
Logistic Regression,120,10,110,5,2031,3,52028,0.5,True,,0.09733464107188693
Multiple Linear Regression,120,10,110,5,2031,3,52028,0.5,True,,0.020184971648845383
Correlation Analysis,120,10,110,5,2031,3,52028,0.5,True,,0.04236077215425186
Variance Analysis,120,10,110,5,2031,3,52028,0.5,True,,0.151245873597911
Logistic Regression,120,10,110,5,2031,4,52029,0.5,True,,0.07643054461464353
Multiple Linear Regression,120,10,110,5,2031,4,52029,0.5,True,,0.02343230690777631
Correlation Analysis,120,10,110,5,2031,4,52029,0.5,True,,0.033980071108004085
Variance Analysis,120,10,110,5,2031,4,52029,0.5,True,,0.21547328919308492
