analysis,noise_amplitude,perturbation_run,random_seed,success,error,rmse,relative_error,structure_score,sign_agreement,significance_agreement,top3_overlap,rank_score,edge_jaccard,group_order_agreement,highest_domain_retention,category_agreement,top2_overlap,bottom2_overlap,r_squared_change,regression_sign_agreement,regression_top3_overlap,variance_rank_agreement,regression_rank_agreement
Logistic Regression,0.1,9,2034,True,,0.01787626328983245,0.1842135068764525,0.9880952380952381,1.0,1.0,1.0,0.9523809523809523,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Multiple Linear Regression,0.1,9,2034,True,,0.003473940522909538,0.07916502104787716,0.9017857142857142,1.0,1.0,0.6666666666666666,0.9404761904761905,nan,nan,nan,nan,nan,nan,0.00040594913929425935,nan,nan,nan,nan
Figure 1,0.1,9,2034,True,,0.010464691136058505,0.01765971805059571,0.8482142857142857,nan,nan,nan,nan,0.6666666666666666,0.875,nan,nan,nan,nan,nan,1.0,0.6666666666666666,0.9880952380952381,0.8928571428571429
Figure 2,0.1,9,2034,True,,0.05835600788622418,0.05653721383650669,0.5063799180211321,nan,nan,nan,0.5255196720845283,nan,nan,nan,1.0,0.5,0.0,nan,nan,nan,nan,nan
Correlation Analysis,0.1,9,2034,True,,0.0039934274089972605,0.04149902623692301,0.9150930487137383,1.0,nan,1.0,0.9937055281882867,0.6666666666666666,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Variance Analysis,0.1,9,2034,True,,0.019379466522309027,0.018281583992533715,0.9543650793650794,nan,nan,nan,0.9880952380952381,nan,0.875,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Logistic Regression,0.1,10,2035,True,,0.020095002512278602,0.2070774424979204,0.9940476190476191,1.0,1.0,1.0,0.9761904761904763,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Multiple Linear Regression,0.1,10,2035,True,,0.0023032438796213644,0.052486894639147984,0.9657738095238095,0.875,1.0,1.0,0.9880952380952381,nan,nan,nan,nan,nan,nan,0.00025313737895082955,nan,nan,nan,nan
Figure 1,0.1,10,2035,True,,0.013039569100725679,0.022004960378296242,0.9990079365079364,nan,nan,nan,nan,1.0,1.0,nan,nan,nan,nan,nan,1.0,1.0,0.9940476190476191,1.0
Figure 2,0.1,10,2035,True,,0.05683308159622362,0.055061752912536864,0.6417472848054717,nan,nan,nan,0.566989139221887,nan,nan,nan,1.0,0.5,0.5,nan,nan,nan,nan,nan
Correlation Analysis,0.1,10,2035,True,,0.004663807468840699,0.048465503110766674,0.9155035577449371,1.0,nan,0.6666666666666666,0.9953475643130816,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Variance Analysis,0.1,10,2035,True,,0.02064942093018902,0.019479593140392357,0.8293650793650794,nan,nan,nan,0.9880952380952381,nan,1.0,0.5,nan,nan,nan,nan,nan,nan,nan,nan
Logistic Regression,0.1,11,2036,True,,0.015416871699387014,0.15886966726562654,0.9657738095238095,0.875,1.0,1.0,0.9880952380952381,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Multiple Linear Regression,0.1,11,2036,True,,0.0023245666207165725,0.052972802568909204,0.9136904761904762,1.0,1.0,0.6666666666666666,0.9880952380952381,nan,nan,nan,nan,nan,nan,0.0010948180424534826,nan,nan,nan,nan
Figure 1,0.1,11,2036,True,,0.009932524411514744,0.01676165864404818,0.996031746031746,nan,nan,nan,nan,1.0,1.0,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.9761904761904763
Figure 2,0.1,11,2036,True,,0.057281832965526164,0.05549651795292738,0.3582527151945283,nan,nan,nan,0.43301086077811307,nan,nan,nan,1.0,0.0,0.0,nan,nan,nan,nan,nan
Correlation Analysis,0.1,11,2036,True,,0.004141363627319952,0.04303635454586705,0.9898399014778325,0.9642857142857143,nan,1.0,0.9950738916256158,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Variance Analysis,0.1,11,2036,True,,0.018835796338962568,0.017768713728037896,0.9900793650793651,nan,nan,nan,0.9702380952380952,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Logistic Regression,0.1,12,2037,True,,0.013816513866513785,0.14237810390750258,0.96875,0.875,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Multiple Linear Regression,0.1,12,2037,True,,0.002441423548808492,0.05563576732348107,0.9970238095238095,1.0,1.0,1.0,0.9880952380952381,nan,nan,nan,nan,nan,nan,0.0005355118262070357,nan,nan,nan,nan
Figure 1,0.1,12,2037,True,,0.007304017327571713,0.012325914349935083,1.0,nan,nan,nan,nan,1.0,1.0,nan,nan,nan,nan,nan,1.0,1.0,1.0,1.0
Figure 2,0.1,12,2037,True,,0.05675270799730835,0.054983884334591275,0.3878374041490774,nan,nan,nan,0.5513496165963097,nan,nan,nan,1.0,0.0,0.0,nan,nan,nan,nan,nan
Correlation Analysis,0.1,12,2037,True,,0.005466204814971954,0.05680388142822797,0.9148193760262725,1.0,nan,0.6666666666666666,0.9926108374384236,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Variance Analysis,0.1,12,2037,True,,0.012988673333386323,0.012252841027514146,0.9900793650793651,nan,nan,nan,0.9702380952380952,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Logistic Regression,0.1,13,2038,True,,0.012264008822514808,0.12637965982768765,0.8794642857142857,0.875,1.0,0.6666666666666666,0.9761904761904763,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Multiple Linear Regression,0.1,13,2038,True,,0.0020239139830014476,0.046121455450023184,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,0.0008577722108359387,nan,nan,nan,nan
Figure 1,0.1,13,2038,True,,0.008623824524785885,0.014553158583034154,0.998015873015873,nan,nan,nan,nan,1.0,1.0,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.9880952380952381
